"Source Name","Program Name",Path,Date/Time,Count,Comment,"Data Source"
"123WASP_SETUP.EXE-333BB1F4.pf",123WASP_SETUP.EXE,,"2004-08-20 17:12:54 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
30.EXE-02F7CFE8.pf,30.EXE,"/DOCUME~1/MRD51E~1.EVI/LOCALS~1/TEMP","2004-08-20 17:08:54 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
A32-19.EXE-311D8B04.pf,A32-19.EXE,,"2004-08-20 17:08:02 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
AGENT.EXE-07F13C20.pf,AGENT.EXE,"/PROGRAM FILES/AGENT","2004-08-25 17:55:36 CEST",2,"Prefetch File","4Dell Latitude CPi.E01"
AGENTSVR.EXE-002E45AB.pf,AGENTSVR.EXE,/WINDOWS/MSAGENT,"2004-08-25 18:20:35 CEST",4,"Prefetch File","4Dell Latitude CPi.E01"
CAIN.EXE-23D61279.pf,CAIN.EXE,"/PROGRAM FILES/CAIN","2004-08-27 17:33:03 CEST",2,"Prefetch File","4Dell Latitude CPi.E01"
"CAIN25B45.EXE-056F3A6E.pf",CAIN25B45.EXE,,"2004-08-20 17:05:52 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
CMD.EXE-087B4001.pf,CMD.EXE,/WINDOWS/SYSTEM32,"2004-08-27 17:14:58 CEST",2,"Prefetch File","4Dell Latitude CPi.E01"
CUTE3032.EXE-1F409A25.pf,CUTE3032.EXE,,"2004-08-20 17:08:37 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
"DAEMON_MGM.EXE-3B573ED8.pf",DAEMON_MGM.EXE,"/PROGRAM FILES/WINPCAP","2004-08-27 17:15:18 CEST",3,"Prefetch File","4Dell Latitude CPi.E01"
DEFRAG.EXE-273F131E.pf,DEFRAG.EXE,/WINDOWS/SYSTEM32,"2004-08-26 17:46:18 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
DFRGNTFS.EXE-269967DF.pf,DFRGNTFS.EXE,/WINDOWS/SYSTEM32,"2004-08-26 17:46:18 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
DRWTSN32.EXE-2B4B52AC.pf,DRWTSN32.EXE,/WINDOWS/SYSTEM32,"2004-08-20 17:25:44 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
DUMPREP.EXE-1B46F901.pf,DUMPREP.EXE,/WINDOWS/SYSTEM32,"2004-08-25 17:25:47 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
DWWIN.EXE-30875ADC.pf,DWWIN.EXE,/WINDOWS/SYSTEM32,"2004-08-25 17:25:50 CEST",2,"Prefetch File","4Dell Latitude CPi.E01"
"ETHEREAL-SETUP-0.10.6.EXE-1D932600.pf","ETHEREAL-SETUP-0.10.6.EXE","/DOCUMENTS AND SETTINGS/MR. EVIL/DESKTOP","2004-08-27 17:28:36 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
ETHEREAL.EXE-1C148EEF.pf,ETHEREAL.EXE,"/PROGRAM FILES/ETHEREAL","2004-08-27 17:34:54 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
EXPLORER.EXE-082F38A9.pf,EXPLORER.EXE,/WINDOWS,"2004-08-20 01:04:12 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
"FABER TOYS.EXE-286A3C88.pf","FABER TOYS.EXE","/PROGRAM FILES/FABER TOYS","2004-08-25 17:27:27 CEST",2,"Prefetch File","4Dell Latitude CPi.E01"
"FABERTOYS_FULLSETUP.EXE-316A62F8.pf",FABERTOYS_FULLSETUP.EXE,,"2004-08-20 17:06:45 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
FTINIT.EXE-0441E9C9.pf,FTINIT.EXE,"/PROGRAM FILES/FABER TOYS","2004-08-25 17:26:55 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
GLJ15.TMP-2FFB7B2A.pf,GLJ15.TMP,"/DOCUME~1/MRD51E~1.EVI/LOCALS~1/TEMP","2004-08-20 17:13:11 CEST",8,"Prefetch File","4Dell Latitude CPi.E01"
HELPSVC.EXE-2878DDA2.pf,HELPSVC.EXE,"/WINDOWS/PCHEALTH/HELPCTR/BINARIES","2004-08-26 17:51:43 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
HH.EXE-2D1A70B3.pf,HH.EXE,/WINDOWS,"2004-08-27 17:12:18 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
ICWCONN1.EXE-24884676.pf,ICWCONN1.EXE,"/PROGRAM FILES/INTERNET EXPLORER/CONNECTION WIZARD","2004-08-20 17:25:32 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
IE4UINIT.EXE-169A5A39.pf,IE4UINIT.EXE,/WINDOWS/SYSTEM32,"2004-08-20 01:04:14 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
IEXPLORE.EXE-27122324.pf,IEXPLORE.EXE,"/PROGRAM FILES/INTERNET EXPLORER","2004-08-27 17:42:41 CEST",18,"Prefetch File","4Dell Latitude CPi.E01"
INS6.TMP-22CFFAF5.pf,INS6.TMP,"/DOCUME~1/MRD51E~1.EVI/LOCALS~1/TEMP","2004-08-20 17:06:46 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
IRSETUP.EXE-2E1C7790.pf,IRSETUP.EXE,"/DOCUME~1/MRD51E~1.EVI/LOCALS~1/TEMP","2004-08-25 17:55:32 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
"LALSETUP250.EXE-36C95679.pf",LALSETUP250.EXE,"/DOCUMENTS AND SETTINGS/MR. EVIL/DESKTOP","2004-08-25 17:55:26 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
LOGON.SCR-151EFAEA.pf,LOGON.SCR,/WINDOWS/SYSTEM32,"2004-08-26 17:25:03 CEST",4,"Prefetch File","4Dell Latitude CPi.E01"
LOGONUI.EXE-0AF22957.pf,LOGONUI.EXE,/WINDOWS/SYSTEM32,"2004-08-27 17:46:17 CEST",7,"Prefetch File","4Dell Latitude CPi.E01"
