Source,Type,Path,"Created Date"
"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/All Users/Documents/My Music/music.asx",File,"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/All Users/Documents/My Music/music.asx","2004-08-20 00:30:54 CEST"
"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/All Users/Documents/My Music/music.wma",File,"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/All Users/Documents/My Music/music.wma","2004-08-20 00:30:54 CEST"
"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/All Users/Documents/My Music/Sample Music/desktop.ini",File,"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/All Users/Documents/My Music/Sample Music/desktop.ini","2004-08-20 00:32:26 CEST"
"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/All Users/DRM/drmv2.lic",File,"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/All Users/DRM/drmv2.lic","2004-08-20 00:38:12 CEST"
"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/All Users/DRM/drmv2.sst",File,"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/All Users/DRM/drmv2.sst","2004-08-20 00:38:12 CEST"
"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/All Users/Start Menu/Programs/Ethereal/Ethereal Web Site.url",File,"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/All Users/Start Menu/Programs/Ethereal/Ethereal Web Site.url","2004-08-27 17:29:43 CEST"
"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/All Users/Start Menu/Windows Catalog.lnk",File,"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/All Users/Start Menu/Windows Catalog.lnk","2004-08-20 00:38:39 CEST"
"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Application Data/Ethereal/recent",File,"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Application Data/Ethereal/recent","2004-08-27 17:45:25 CEST"
"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Application Data/Microsoft/Internet Explorer/brndlog.txt",File,"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Application Data/Microsoft/Internet Explorer/brndlog.txt","2004-08-20 01:04:57 CEST"
"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Cookies/mr. evil@www.drudgereport[1].txt",File,"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Cookies/mr. evil@www.drudgereport[1].txt","2004-08-25 17:50:45 CEST"
"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Cookies/index.dat",File,"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Cookies/index.dat","2004-08-27 17:42:41 CEST"
"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Cookies/mr. evil@www.cnn[1].txt",File,"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Cookies/mr. evil@www.cnn[1].txt","2004-08-20 21:05:19 CEST"
"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Cookies/mr. evil@www.maktoob[2].txt",File,"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Cookies/mr. evil@www.maktoob[2].txt","2004-08-27 17:44:32 CEST"
"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Cookies/mr. evil@www.netstumbler[2].txt",File,"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Cookies/mr. evil@www.netstumbler[2].txt","2004-08-27 17:10:10 CEST"
"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Cookies/mr[1].txt",File,"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Cookies/mr[1].txt","2004-08-27 17:44:35 CEST"
"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Favorites/Links/Customize Links.url",File,"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Favorites/Links/Customize Links.url","2004-08-20 01:04:57 CEST"
"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Favorites/Links/Free Hotmail.url",File,"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Favorites/Links/Free Hotmail.url","2004-08-20 01:04:57 CEST"
"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Favorites/Links/Windows Media.url",File,"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Favorites/Links/Windows Media.url","2004-08-20 01:04:57 CEST"
"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Favorites/Links/Windows.url",File,"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Favorites/Links/Windows.url","2004-08-20 01:04:57 CEST"
"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Favorites/MSN.com.url",File,"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Favorites/MSN.com.url","2004-08-20 01:04:57 CEST"
"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Favorites/Radio Station Guide.url",File,"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/Favorites/Radio Station Guide.url","2004-08-20 01:04:57 CEST"
"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/interception",File,"/img_4Dell Latitude CPi.E01/vol_vol2/Documents and Settings/Mr. Evil/interception","2004-08-27 17:41:00 CEST"
