"Source Name",URL,"Date Accessed","Program Name",Domain,Username,"Data Source"
index.dat,atwola.com/,"2004-08-20 19:05:19 CEST","Internet Explorer Analyzer",atwola.com,"Cookie:mr. evil","4Dell Latitude CPi.E01"
index.dat,cnn.com/,"2004-08-20 19:05:21 CEST","Internet Explorer Analyzer",cnn.com,"Cookie:mr. evil","4Dell Latitude CPi.E01"
index.dat,search.msn.com/,"2004-08-20 21:27:41 CEST","Internet Explorer Analyzer",msn.com,"Cookie:mr. evil","4Dell Latitude CPi.E01"
index.dat,yahoo.com/,"2004-08-25 15:26:44 CEST","Internet Explorer Analyzer",yahoo.com,"Cookie:mr. evil","4Dell Latitude CPi.E01"
index.dat,revenue.net/,"2004-08-20 21:21:55 CEST","Internet Explorer Analyzer",revenue.net,"Cookie:mr. evil","4Dell Latitude CPi.E01"
index.dat,www.cnn.com/,"2004-08-20 19:05:19 CEST","Internet Explorer Analyzer",cnn.com,"Cookie:mr. evil","4Dell Latitude CPi.E01"
index.dat,fastclick.net/,"2004-08-25 15:51:06 CEST","Internet Explorer Analyzer",fastclick.net,"Cookie:mr. evil","4Dell Latitude CPi.E01"
index.dat,doubleclick.net/,"2004-08-25 15:25:45 CEST","Internet Explorer Analyzer",doubleclick.net,"Cookie:mr. evil","4Dell Latitude CPi.E01"
index.dat,atdmt.com/,"2004-08-27 15:42:53 CEST","Internet Explorer Analyzer",atdmt.com,"Cookie:mr. evil","4Dell Latitude CPi.E01"
index.dat,"servedby.advertising.com/","2004-08-25 15:51:11 CEST","Internet Explorer Analyzer",advertising.com,"Cookie:mr. evil","4Dell Latitude CPi.E01"
index.dat,centrport.net/,"2004-08-25 15:49:41 CEST","Internet Explorer Analyzer",centrport.net,"Cookie:mr. evil","4Dell Latitude CPi.E01"
index.dat,list.ru/,"2004-08-25 15:54:05 CEST","Internet Explorer Analyzer",list.ru,"Cookie:mr. evil","4Dell Latitude CPi.E01"
index.dat,advertising.com/,"2004-08-25 15:51:11 CEST","Internet Explorer Analyzer",advertising.com,"Cookie:mr. evil","4Dell Latitude CPi.E01"
index.dat,tribalfusion.com/,"2004-08-25 15:51:06 CEST","Internet Explorer Analyzer",tribalfusion.com,"Cookie:mr. evil","4Dell Latitude CPi.E01"
index.dat,www.maktoob.com/MAIN/,"2004-08-27 15:44:35 CEST","Internet Explorer Analyzer",maktoob.com,"Cookie:mr. evil","4Dell Latitude CPi.E01"
index.dat,www.drudgereport.com/,"2004-08-25 15:50:45 CEST","Internet Explorer Analyzer",drudgereport.com,"Cookie:mr. evil","4Dell Latitude CPi.E01"
index.dat,"http://www.2600.com/hacked_pages/2000/01/thomas.loc.gov","2004-08-20 15:32:12 CEST","Internet Explorer Analyzer",2600.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"http://us.f613.mail.yahoo.com/ym/login?.rand=7lrrdoi00fl1k&.first=1","2004-08-20 15:38:23 CEST","Internet Explorer Analyzer",yahoo.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,mkC:/cool_mail.htm,"2004-08-20 21:15:02 CEST","Internet Explorer Analyzer",,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"http://www.microsoft.com/windows/ie/getosver/javaxp.asp","2004-08-25 16:13:01 CEST","Internet Explorer Analyzer",microsoft.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"http://www.cnn.com/cnn_adspaces/adsPopup2.html?0","2004-08-20 19:05:23 CEST","Internet Explorer Analyzer",cnn.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"http://www.wardriving.com/setup.php","2004-08-27 15:09:27 CEST","Internet Explorer Analyzer",wardriving.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"http://winpcap.mirror.ethereal.com/301a/download.htm","2004-08-27 15:11:33 CEST","Internet Explorer Analyzer",ethereal.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"http://www.yahoo.com/_ylh=X3oDMTB1M2EzYWFoBF9TAzI3MTYxNDkEdGVzdAMwBHRtcGwDaWUtYmV0YQ--/s/208739","2004-08-25 15:26:02 CEST","Internet Explorer Analyzer",yahoo.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"http://www.mosnews.com/interview/2004/08/24/arbatov.shtml","2004-08-25 15:52:59 CEST","Internet Explorer Analyzer",mosnews.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,http://www.maktoob.com,"2004-08-27 15:43:19 CEST","Internet Explorer Analyzer",maktoob.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"http://www.t50.com/extra.html","2004-08-20 15:49:01 CEST","Internet Explorer Analyzer",t50.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"http://search.msn.com/results.aspx?FORM=MSNH&q=download%20rencode%20buddy","2004-08-20 21:27:44 CEST","Internet Explorer Analyzer",msn.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"ftp://ftp.volftp.mondadori.com/pub/pc/windows/win98/progs/network/tcpip/lalsetup250.exe","2004-08-25 15:51:24 CEST","Internet Explorer Analyzer",mondadori.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"file/Program%20Files/mIRC/channels/channels.txt","2004-08-20 15:50:40 CEST","Internet Explorer Analyzer",,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"http://www.ethereal.com/distribution/win32/ethereal-setup-0.10.6.exe","2004-08-27 15:11:49 CEST","Internet Explorer Analyzer",ethereal.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"http://winpcap.mirror.ethereal.com/install/bin/WinPcap_3_01_a.exe","2004-08-27 15:14:20 CEST","Internet Explorer Analyzer",ethereal.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"http://www.majorgeeks.com","2004-08-25 15:27:45 CEST","Internet Explorer Analyzer",majorgeeks.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"file/Drivers/Anonyymizer/keys.txt","2004-08-20 15:04:51 CEST","Internet Explorer Analyzer",,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"file/Drivers/GhostWare/Receipt.rtf","2004-08-20 15:09:16 CEST","Internet Explorer Analyzer",,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"http://www.microsoft.com/isapi/redir.dll?prd=ie&pver=6&ar=msnhome","2004-08-27 15:42:47 CEST","Internet Explorer Analyzer",microsoft.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"http://edit.yahoo.com/config/eval_register?.v=&.intl=&new=1&.done=&.src=ym&.partner=&.p=&promo=&.last=","2004-08-20 15:34:27 CEST","Internet Explorer Analyzer",yahoo.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"http://www.google.com/search?hl=en&ie=UTF-8&q=who+am+i","2004-08-25 16:07:32 CEST","Internet Explorer Analyzer",google.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"http://www.mosnews.com/news/2004/08/24/internetend.shtml","2004-08-25 15:51:39 CEST","Internet Explorer Analyzer",mosnews.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"http://www.mosnews.com/commentary/2004/08/25/revolution.shtml","2004-08-25 15:54:07 CEST","Internet Explorer Analyzer",mosnews.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,http://www.msn.com,"2004-08-27 15:42:54 CEST","Internet Explorer Analyzer",msn.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,http://www.cnn.com,"2004-08-20 19:05:25 CEST","Internet Explorer Analyzer",cnn.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"http://us.f613.mail.yahoo.com/ym/ShowFolder?YY=78169&.first=1&box=Inbox&YN=1","2004-08-20 15:38:27 CEST","Internet Explorer Analyzer",yahoo.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,about:Home,"2004-08-19 23:04:24 CEST","Internet Explorer Analyzer",,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"http://www.outpimp.com/?x=400928","2004-08-20 21:21:55 CEST","Internet Explorer Analyzer",outpimp.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"http://edit.yahoo.com/config/id_check","2004-08-20 15:35:47 CEST","Internet Explorer Analyzer",yahoo.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"http://www.magnescan.com/pricelist.asp","2004-08-20 21:27:53 CEST","Internet Explorer Analyzer",magnescan.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"http://www.drudgereport.com","2004-08-25 15:51:20 CEST","Internet Explorer Analyzer",drudgereport.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,http://www.t50.com,"2004-08-20 15:49:01 CEST","Internet Explorer Analyzer",t50.com,"Mr. Evil","4Dell Latitude CPi.E01"
index.dat,"ftp://mirror.sg.depaul.edu/pub/security","2004-08-27 15:17:15 CEST","Internet Explorer Analyzer",depaul.edu,"Mr. Evil","4Dell Latitude CPi.E01"
